name,location,link,rooms,bathrooms,construction (m2),terrain (m2),divisa,price MP,Delegacion,colonia,gym,pool,pet,garage,elevador,terrace,garden
"Sierra Gorda, Lomas de Chapultepec","Calle Sierra gorda, Lomas de Chapultepec, Miguel Hidalgo",/propiedades/sierra-gorda-lomas-de-chapultepec-56702861.html,2.5,2.0,282.0,416.5,1,25.0, Miguel Hidalgo,LomasdeChapultepec,0,0,0,0,0,0,1
Enquentro Residencial Insurgentes Mixcoac,"Patriotismo 883, Insurgentes Mixcoac, Benito Juárez",/propiedades/enquentro-residencial-insurgentes-mixcoac-51407421.html,2.5,2.0,140.5,140.5,1,5.523587, Benito Juárez,InsurgentesMixcoac,1,1,1,1,1,1,1
Sky Tower Lindavista,"Av. Insurgentes Norte. 1346, Lindavista,  Ciudad de México (A lado del Costco Lindavista), Lindavista, Gustavo A. Madero",/propiedades/sky-tower-lindavista-54456938.html,2.0,2.0,79.5,122.0,1,3.21, Gustavo A. Madero,Lindavista,1,0,0,1,0,0,0
Único Coyocán,"Av. Popocatepetl 164,, Narvarte, Benito Juárez",/propiedades/unico-coyocan-52835008.html,2.0,2.0,107.5,107.5,1,3.472, Benito Juárez,Narvarte,0,0,1,0,0,1,1
Departamentos Icon Beyond Gdc,"Blvd. Adolfo López Mateos 1977, San Angel, Alvaro Obregón",/propiedades/departamentos-icon-beyond-gdc-54167334.html,2.0,2.0,129.0,129.0,1,5.045115, Alvaro Obregón,SanAngel,0,0,0,0,0,0,0
10 Departamentos Listos Para Escriturar Muy Iluminados!,"Casas Grandes 149, Narvarte, Benito Juárez",/propiedades/10-departamentos-listos-para-escriturar-muy-56614494.html,2.0,2.0,73.0,83.0,1,3.2, Benito Juárez,Narvarte,0,0,0,1,0,1,1
Hermosos y Amplios Departamentos en Esquina Súper Ubicados!,"Watteau 17, Santa Maria Nonoalco, Benito Juárez",/propiedades/hermosos-y-amplios-departamentos-en-esquina-super-57560899.html,2.0,2.0,80.0,80.0,1,3.975, Benito Juárez,SantaMariaNonoalco,0,0,0,1,0,0,0
Hermoso Departamento Nuevo con Terraza de 30 m² Listo Para Escriturar!,"Casas Grandes 149, Narvarte, Benito Juárez",/propiedades/hermoso-departamento-nuevo-con-terraza-de-30-m-sup2-57595043.html,2.0,2.0,91.0,120.0,1,4.4, Benito Juárez,Narvarte,0,0,0,1,1,1,1
Departamento Exterior con Vista a Las Canchas del Club America!,"El Parque de Coyoacán, Coyoacán",/propiedades/departamento-exterior-con-vista-a-las-canchas-del-club-57717456.html,3.0,2.0,97.0,110.0,1,3.09, Coyoacán,ElParquedeCoyoacán,0,0,0,1,0,0,0
Hermosos y Ubicadisimos Departamentos con Excelentes Amenidades.,"Calle de la Constitución 18, Escandón, Miguel Hidalgo",/propiedades/hermosos-y-ubicadisimos-departamentos-con-excelentes-56953443.html,2.0,2.0,77.0,77.0,1,3.6010000000000004, Miguel Hidalgo,Escandón,1,0,0,0,0,0,0
Hermoso y Gran Departamento con Roof Garden Privado con Acceso Directo!,"Paz Montes de Oca 96, General Pedro Maria Anaya, Benito Juárez",/propiedades/hermoso-y-gran-departamento-con-roof-garden-privado-57713489.html,2.0,2.0,117.0,200.0,1,4.99, Benito Juárez,GeneralPedroMariaAnaya,0,0,0,1,0,0,1
Departamentos Exterior con Roof Garden y Acceso Directo a Precios de Remate!,"Saratoga 605 , Portales, Benito Juárez",/propiedades/departamentos-exterior-con-roof-garden-y-acceso-58226372.html,2.0,2.0,82.0,150.0,1,4.1, Benito Juárez,Portales,0,0,0,1,0,1,1
Hermoso Departamento Recién Remodelado y Súper Ubicado!,"Ures 87, Roma, Cuauhtémoc",/propiedades/hermoso-departamento-recien-remodelado-y-super-57642055.html,2.0,2.0,75.0,90.0,1,2.67, Cuauhtémoc,Roma,0,0,0,0,0,0,0
"Departamentos con Terraza, Balcones o Roof Garden Privados Iluminados y Bodega.","Saratoga 605, Portales, Benito Juárez",/propiedades/departamentos-con-terraza-balcones-o-roof-garden-56052349.html,2.0,2.0,75.0,97.0,1,3.299953, Benito Juárez,Portales,0,1,0,1,0,1,1
"St Regis, Loft Amueblado en Venta o Renta! (Mc)","St Regis, Loft Amueblado en Venta o Renta! (mc), Cuauhtémoc, Cuauhtémoc",/propiedades/st-regis-loft-amueblado-en-venta-o-renta!-mc-58517568.html,1.0,1.0,120.0,120.0,0,25.3, Cuauhtémoc,Cuauhtémoc,1,1,0,1,1,0,0
"Departamento Nuevo con Balcón en Venta The Point, Santa Fe (Mc)","Departamento Nuevo con Balcón  en  Venta   The Point , Santa Fe (mc), Santa Fe Cuajimalpa, Cuajimalpa de Morelos",/propiedades/departamento-nuevo-con-balcon-en-venta-the-point-58475430.html,2.0,2.0,104.0,104.0,1,6.2, Cuajimalpa de Morelos,SantaFeCuajimalpa,1,1,0,1,1,1,0
"Club de Golf Bosques de Santa Fe, Departamento en Venta (Dm)","Club de Golf Bosques de Santa Fe, Departamento en Venta (dm), Santa Fe Cuajimalpa, Cuajimalpa de Morelos",/propiedades/club-de-golf-bosques-de-santa-fe-departamento-en-58474083.html,4.0,4.0,650.0,650.0,0,77.0, Cuajimalpa de Morelos,SantaFeCuajimalpa,0,1,0,1,0,1,0
"Baja Precio, Vidalta, Departamento Venta Exclusiva! (Js)","En Exclusiva Residencial Vidalta, Departamento en Venta (js), Bosques de las Lomas, Cuajimalpa de Morelos",/propiedades/baja-precio-vidalta-departamento-venta-exclusiva!-58475433.html,3.0,3.0,359.0,359.0,0,29.7, Cuajimalpa de Morelos,BosquesdelasLomas,1,1,0,1,1,1,0
"Departamento en Venta, Ruben Dario, Polanco (Js)","Departamento en Venta, Ruben Dario, Polanco (js), Polanco, Miguel Hidalgo",/propiedades/departamento-en-venta-ruben-dario-polanco-js-58474020.html,3.0,3.0,310.0,310.0,0,59.4, Miguel Hidalgo,Polanco,0,0,0,1,1,1,0
"Polanco, Goldsmith 222 Th 103","Polanco, Goldsmith 222 TH 103, Polanco III Sección, Miguel Hidalgo",/propiedades/polanco-goldsmith-222-th-103-58491701.html,3.0,3.0,183.0,183.0,0,20.5029, Miguel Hidalgo,PolancoIIISección,0,0,0,1,0,1,0
Musset 326,"Alfredo Musset 326, Polanco, Miguel Hidalgo",/propiedades/musset-326-56045986.html,2.5,2.0,294.0,328.0,1,20.098744, Miguel Hidalgo,Polanco,0,0,1,0,0,1,1
