name,location,description,link,price,operation,rooms,bathrooms,construction (m2),terrain (m2),estacionamientos,toilets,age
"Bosque de Canelos Departamento en Venta, Bosque de Las Lomas (Vg)","Bosques de las Lomas, Cuajimalpa de Morelos","Bosque de Canelos departamento en venta, Bosque de las Lomas (vg) Cuenta con 325 mts, amplia sala y comedor, super calientito, 3 recamaras cada una con su baño, medio baño de visitas, 3 lugares de estacionamiento, mantenimiento de $10, 000. Areas comunes: Alberca interior, Gimnasio equipado, salón de fiestas, cancha de squash y jardín con juegos infantiles. Departamento en una de las mejores calles de Bosques de Las Lomas super tranquila, en edificio de solo 16 departamentos. _____________________________________________________codigo de referencia dapVer datos Las medidas son ilustrativas y deben de corroborarse con los títulos de propiedad respectivos y/o las boletas predial. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. La publicación de la presente información no representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/bosque-de-canelos-departamento-en-venta-bosque-de-las-64402656.html,"MN 14,500,000",venta,3.0,3.0,,325.0,3.0,1.0,
Departamento en Venta en Plaza Carso: Amueblado de 2 Recamaras Muy Lindo.,"Ampliación Granada, Miguel Hidalgo",Departamento de 118 M2: 2 recamaras muy amplias cada una con baño completo Y vestidor. Linda cocina abierta con area de lavado. Baño de visitas. Espaciosa sala comedor. Totalmente amueblado Y equipado. Bonita decoracion. 2 cajones de estacionamiento. Completo conjunto de amenidades. Vigilancia 24 horas. Estacionamiento para visitas. Torre muy bien ubicada. Muebles A negociar.,/propiedades/departamento-en-venta-en-plaza-carso:-amueblado-de-2-57321581.html,"MN 8,600,000",venta,2.0,2.0,118.0,118.0,2.0,1.0,
"Departamento en Venta en La Col. Jardines en La Montaña, Real de La Montaña","Jardines en la Montaña, Tlalpan","Increíble departamento ubicado en una de las mejores zonas del sur de la ciudad de México con excelentes vialidades como Blvd Ajusco, Periférico, Paseo del Pedregal, San Jerónimo, av insurgentes, universidad. El departamento está dentro de un desarrollo residencial privado con vigilancia 24/7. Tiene una superficie habitable de 120 m2, muy bien iluminado y con preciosas vistas al Ajusco, a la zona residencial de Jardines de la Montaña",/propiedades/departamento-en-venta-en-la-col.-jardines-en-la-64313332.html,"MN 6,080,000",venta,2.0,2.0,120.0,,,,
Venta Departamento Polanco,"Polanco IV Sección, Miguel Hidalgo","-35- Espectacular departamento en una calle muy tranquila y bonita de Polanco, muy iluminada, Consta de los siguientes espacios: Sala, comedor, family, 3 recámaras con su vestidor y baño, 3 lugares estacionamiento, salón de juegos, hermosa terraza privada para gozarla. (ro) denh18Ver datosMVer datoseb-dt6772",/propiedades/venta-departamento-polanco-64557852.html,"MN 23,700,000",venta,3.0,3.0,200.0,216.0,2.0,,
Bosques de Las Lomas Departamento de 3 Recamaras en Venta o Renta,"Bosques de las Lomas, Cuajimalpa de Morelos","Ubicado en una de las mejores zonas residenciales de la Alcaldía de Cuajimalpa en Bosques de las Lomas se encuentra este departamento de 300m2, Cocina y antecomedor y Sala-comedor. 3 recamaras, las tres con vestidor y baño integrado. Family. Area de lavanderia, cuarto y baño de servicio. Tres lugares de estacionamiento, seguridad 24 horas. Amenidades: gimnasio, salon de eventos, alberca. El precio de renta incluye mantenimeinto",/propiedades/bosques-de-las-lomas-departamento-de-3-recamaras-en-58755387.html,"MN 14,500,000",venta,3.0,3.0,300.0,300.0,3.0,1.0,
"Departamento en Venta en Bosque de Las Lomas, Calle Bosque D","Bosques de las Lomas, Cuajimalpa de Morelos","En bosque de abetos se encuentra este increible residencial con muchas amenidades. Cerca de areas comerciales Y de muy facil acceso. Son 195 mtrs con elevador al piso. Super fino acabado, marmol en piso en las areas sociales, area de sala Y comedor con un gran ventanal esquinado con vista verde. Excelente luz Y clima. 2 grandes recamaras, cada una con baño Y vestidor, con pisos de madera. Muy linda cocina en granito. Area de lavado Y cuarto de servicio. 3 lugares de coche Y 1 bodega. A un lado del centro comercial plaza bosques. Calle cerrada por lo que solo hay transito local. Las amenidades son alberca techada, gym, cancha de tenis, ludoteca, asadores, jardin, spa, cancha de basquet, cinito, salon de fiestas Y vigilancia 24 horas. EasyBroker id: eb-io6335",/propiedades/departamento-en-venta-en-bosque-de-las-lomas-calle-62324664.html,"MN 11,200,000",venta,2.0,2.0,195.0,195.0,2.0,1.0,
Departamento en Venta Be Grand Contadero,"Contadero, Cuajimalpa de Morelos","Departamento nuevo en venta y renta. 123m2 tiene balcón, cocina integral. cuenta con 3 recamaras, 2 baños, 2 estacionamientos, seguridad 24/7. cuenta con aménities, área de juegos infantiles, alberca, gym, jacuzzi, salón de usos múltiples renta $24, 000. 00 mnnto. Incluido. Precio $6, 300. 000. EasyBroker id: eb-kk6224",/propiedades/departamento-en-venta-be-grand-contadero-64065883.html,"MN 6,300,000",venta,3.0,2.0,123.0,123.0,2.0,,
Estrena en Agosto Gran Departamento con Balcón,"Del Valle Norte, Benito Juárez","Desarrollo que goza de gran ubicación en la ciudad, en una zona de gran demanda y alta plusvalía, se encuentra solo a poca distancia a pie de colegios, tiendas, restaurantes. Vivienda de 2 habitaciones con gran iluminación natural, con grandes ventanas, acabados de alto nivel, marmol en pisos, carpintería de nogal con gran diseño, espacios abiertos, iluminados y ventilados naturalmente, las 2 recamaras cuentan con closet, 2 baños completos con ventilación natural cubiertos con mármol y cancel de vidrio, tiene una amplia estancia con gran balcón, cocina moderna abierta con gran diseño y cubierta de mármol, cuenta con estacionamiento techado para 1 auto, bodega, y un gran Roof Garden Común de 90m² con asador y muebles, el desarrollo cuenta con solo 30 departamento en 4 niveles, seguridad 24 horas, el acceso es controlado, a unos pasos se encuentra un bonito parque con área de juegos, canchas y área para mascotas, cerca de vías principales como Insurgentes, Xola, Av Coyoacán, Viaducto, la Colonia Roma y Nápoles. ¿Quieres saber más? Estamos encantados de ayudarte a elegir el mejor hogar para tu familia. Descubre tu próximo hogar con nosotros. Entrega agosto",/propiedades/estrena-en-agosto-gran-departamento-con-balcon-63526843.html,"MN 4,650,000",venta,2.0,2.0,80.0,83.0,1.0,,
"Ultimo Departamento Exterior, con Amplio Balcón a Estrenar","Vertiz Narvarte, Benito Juárez","Desarrollo de solo 11 Departamentos, ubicado en una de las mejores zonas de la Col. Narvarte con una alta plusvalía, se caracteriza por un ambiente tranquilo y zona segura. Con acceso a vialidades importantes como Av. Universidad y Div. Del Norte. A solo 3 cuadras del parque de los venados. Cuenta con amenidades que te encantarán como: lobby, elevador, vigilancia, roof garden comunal y pet friendly donde. los departamentos y los espacios comunes están diseñados para la comodidad de las mascotas y sus. dueños. Departamento exterior ubicado en 3er piso, cuenta con 77m2 totales, distribuidos en: - 69 m2 Habitables. - 8m2 de Terraza. - Sala/comedor con acceso a balcón. - Cocina integral. - 2 recamaras. - 2 baños completos. - 1 Cajón de estacionamiento (no se estorba con vecinos) Además: - Roof Garden Común. -Elevador. -Vigilancia 24 horas",/propiedades/ultimo-departamento-exterior-con-amplio-balcon-a-64433622.html,"MN 3,900,000",venta,2.0,2.0,77.0,69.0,1.0,,
Venta Town House Lomas de Vista Hermosa,"Lomas de Vista Hermosa, Cuajimalpa de Morelos","-40- linda town house en condominio ubicación A 5 minutos de los corporativos de santa fe, buenos espacios y excelente distribución, 3 niveles. Consta de: pb: Sala, comedor, cocina integral, desayunador, 2 alacenas, cava, baño visitas, cuarto de servicio con baño y closet, área de lavanderíaPiso 1: 2 recámaras, 1 baño completo, sala tvpiso 2: Master Suite (recámara principal, estudio, sala de tv, vestidor y baño completo) 2 estacionamientos techados. Áreas comunes: Alberca, cancha de tenis, jardín con juegos, salón de eventos, terraza, baños con vapor, estacionamiento de visitas. Estricta vigilancia 24 horasMantenimiento $2, 550. 00 M. N. PesosUbicado a 5 minutos de Santa Fe y Bosques de las Lomas, a 10 minutos de Interlomas, con todos los servicios en la zona. ¡conócela Y vívela! (msa) denh22Ver datosMVer datoseb-jk5264",/propiedades/venta-town-house-lomas-de-vista-hermosa-64557383.html,"MN 6,250,000",venta,3.0,2.0,180.0,180.0,2.0,1.0,
