name,location,description,link,price,operation,rooms,bathrooms,construction (m2),terrain (m2),estacionamientos
Gran Departamento con Elevador Directo Al Interior,"Del Valle Centro, Benito Juárez","Vivienda con elevador directo al departamento, de espacios abiertos con ventanas panoramicas, una gran Terraza exterior en calle arbolada, tiene grandes alturas, cuenta con 3 habitaciones con suelos de madera de ingeniería, closets de piso a techo, la habitación principal cuenta con vestidor y baño completo, sala de tv cómoda y silenciosa, estancia amplia, cocina con acabados de alto nivel en muebles, cubierta e isla en granito y con gran espacio de almacenamiento, cuarto de lavado privado, los baños forrados en porcelanato y canceles de vidrio templado en regadera, espejos flotados con iluminación led, 2 lugares de estacionamiento totalmente independientes, edificio seguro con vigilancia 24 horas y acceso controlado, espacios amplios en areas comunes, solo 4 Departamentos, 1 Departamentos por nivel y muy privados, la zona es tranquila y segura, a poca distancia a pie de restaurantes, tiendas, bancos, escuelas, parques y cerca de vías principales como Av Coyoacán, Eugenia, Amores, Gabriel Mancera, Insurgentes, División del Norte, Viaducto, colonia Nápoles, Narvarte y centros comerciales cercanos. Descubre tu próximo hogar con nosotros. ¿Te lo vas a perder? .",/propiedades/gran-departamento-con-elevador-directo-al-interior-64301858.html,"MN 12,290,000",venta,,,,,
Bosques del As Lomas Departamento a La Venta en Paseo de Tamarindos (Sl),"Bosques de las Lomas, Cuajimalpa de Morelos","Bosques de las Lomas departamento a la venta en Paseo de Tamarindos (sl). Cuenta con 149 mts. , sala, comedor con pisos de madera de ingeniería, cocina, 3 recamaras la principal con baño vestidor, la 2da recamara con vestidor y la 3ra con closet, 2 baños completos, cuarto de lavado y de servicio, mantenimiento $ 3500 pesos, bodega, 2 cajones de estacionamiento. Amenidades: jardin, área infantil y salón de usos múltiples. _____________________________________________________codigo de referencia dapVer datos Las medidas son ilustrativas y deben de corroborarse con los títulos de propiedad respectivos y/o las boletas predial. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. La publicación de la presente información no representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/bosques-del-as-lomas-departamento-a-la-venta-en-paseo-64512718.html,"MN 7,500,000",venta,,,,,
"Departamento en Venta en Polanco, Calle Horacio","Polanco IV Sección, Miguel Hidalgo","Departamento de 227mtrs con entrada directa al departamento del elevador, excelente ubicacion, se encuentra en horacio pero la entrada es por una calle muy tranquila que es benito perez galdoz, por esto mismo el depto es una escuadra Y tiene alrededor balcon, mucha luz Y excelente clima. Todos son ventanales de piso A techo. Actualmente son 2 recamaras con 2 baños completos, el principal con vestidor Y el baño dentro, el otro baño esta en el pasillo Y da servicio A visitas, la tercera recamara actualmente esta abierta como parte del area social Y es como estudio pero se puede volver hacer la pared. Precioso antecomedor que puede ser family, cocina iluminada, excelente cuarto de servicio Y area de lavado. Sala Y comedor super amplios. Con una actualizacion quedaria increible este gran departamento. EasyBroker id: eb-gf9317",/propiedades/departamento-en-venta-en-polanco-calle-horacio-59896926.html,"MN 10,500,000",venta,,,,,
Departamento en Venta en Colonia del Valle.,"Del Valle Sur, Benito Juárez","Vive como siempre habías deseado en este amplio departamento con una excelente ubicación en la Colonia del Valle. Podrás llegar caminando a la estación Coyoacán de la línea 3 del metro. Vivirás a unos pasos de parques, centros comerciales, oficinas, bancos, restaurantes, hospitales y todo lo que necesitas para vivir cómodamente a solo unas calles de Avenida Coyoacán y Avenida Universidad. El edificio, de tan solo 8 departamentos, uno por piso, cuenta con acceso directo desde el elevador por el que ingresarás a la gran área social de sala y comedor, con vista exterior arbolada y excelente ventilación. Medio baño para visitas y un amplísimo closet de blancos. La cocina integral, totalmente remodelada, cuenta con estufa, horno, doble tarja, triturador de residuos orgánicos, refrigerador de vinos, cajoneras con sistema push y moderna iluminación. Además un espacio perfecto para desayunador y una alacena independiente. Las 3 recámaras son muy amplias, en todas ellas, cabe perfecto una cama king size. Cada una tiene baño propio. Adicionalmente, la recámara principal cuenta con walking closet. El departamento incluye también un cuarto de lavado y cuarto de servicio con baño incluido que puede utilizarse cómodamente como cuarta recámara. En planta baja se encuentran los 2 cajones de estacionamiento en fila, que no se estorban con otros vecinos y tienen salida rápida a través del portón eléctrico. El edificio cuenta con vigilancia 24 horas y cerca electrificada en Planta Baja. Agenda una cita y ven a conocer tu nuevo hogar. Citas: 55 Ver datos y 55 Ver datos. EasyBroker id: eb-hu6423",/propiedades/departamento-en-venta-en-colonia-del-valle.-61527301.html,"MN 8,500,000",venta,,,,,
"Polanco, Pre - Venta Excelente Departamento en Calle Newton (Gr)","Polanco, Miguel Hidalgo","Desarrollo con 12 departamentos en la mejor zona de Polanco (gr). Cerca de comercios y restaurantes. La calle es muy tranquila y arbolada. Cuentan con espacios desde 125 mts. Hasta 153 mts. , estancia amplia, 2 recamaras, 2. 5 baños, cuarto de lavado y servicio, 1 estacionamiento, 1 elevador y seguridad privada. Área común: roof garden. Se entregan totalmente acabados con materiales de alta calidad y diseño. Algunos tienen balcón o terraza. Muy bien distribuidos con espacios generosos y áreas de guardado. Excelentes precios desde $554, 180 dlls. Hasta $711, 782. 50 dlls. Entrega nov 2022. Se puede visitar showroom. _____________________________________________________codigo de referencia dapVer datos Las medidas son ilustrativas y deben de corroborarse con los títulos de propiedad respectivos y/o las boletas predial. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. La publicación de la presente información no representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/polanco-pre-venta-excelente-departamento-en-calle-64402755.html,"USD 554,180",venta,,,,,
"Departamento en Venta en Arquimedes, Miguel Hidalgo","Polanco, Miguel Hidalgo","¡Departamento en venta ubicado a unos pasos de la Av. Principal Ejército nacional, rodeado de todas tus necesidades básicas este departamento cuenta con 85. 7 m2. -2 recámaras. - Terraza con balcón y una hermosa vista panorámica que también se comunica con la otra recámara. -2 Cajones de estacionamiento fijos. -Elevador. -Área de Lavado. -1 Baño completo. El edificio cuenta con vigilancia las 24 hrs y valet parking para toda tu comodidad! El edificio tiene 15 años de Construido, tiene 11 pisos con 26 departamentos en total. Amenities. -Pequeño Gimnasio. -Salón de eventos múltiples. ¡Visítalo hoy mismo! Costo del departamento $5, 950, 000. El departamento se vende sin muebles. Mantenimiento Mensual de $3, 190. 00. ""Todo pago, depósito y/o cheque en garantía que se emita para realizar el apartado o pago respecto de cualquier inmueble, deberá realizarse única y exclusivamente en las cuentas bancarias de los propietarios. Ninguna inmobiliaria externa podrá recibir en sus cuentas y/o de terceros ningún pago, depósito y o cheque en garantía de ningún tipo. La vigencia de la aceptación de las propuestas tendrán una vigencia únicamente de 10 días naturales”. EasyBroker id: eb-kq0696",/propiedades/departamento-en-venta-en-arquimedes-miguel-hidalgo-64263576.html,"MN 5,950,000",venta,,,,,
"Departamento en Héroes de Padierna, Tlalpan","Tlalpan, Tlalpan","Departamento en venta en Calle Calkini #325Departamento en venta en Calle Calkini #325 Int. 203, Col. Héroes de Padierna, Tlalpan C. P. Ver datos, cdmxdisfruta un departamento muy acogedor de 96 m2 de construcción, cuenta con elevador, bodega, cisterna, gas estacionario, estancia de sala-comedor, 3 habitaciones, 2 baños completos, 1 patio de servicio y 2 cajones de estacionamiento. Cuenta con un cuarto de servicio en el piso superior con unas barras de lavado a mano. Encuentra más propiedades en Pulppo. com",/propiedades/departamento-en-heroes-de-padierna-tlalpan-64343909.html,"MN 2,620,000",venta,,,,,
"Venta Departamento Bosques de Las Lomas, Residencial Avivia","Bosques de las Lomas, Cuajimalpa de Morelos","Venta espectacular departamento en exclusiva con increible vista., con 4 años de uso. Pisos de madera. Son 257m, 3 recámaras con vestidor Y baño, cocina abierta, amplia estancia, family, baño de visitas, cuarto de servicio Y lavado, bodega, 3 lugares de estacionamiento. El desarrollo cuenta con las mejores amenidades como alberca semiolimpica techada, alberca al aire libre, jardines, gym, spa, tiendita, estetica, area de asadores, cancha fut/basquet, salones de fiestas, ludoteca, etc. Vigilancia 24 hrs. Estacionamiento de visitas con valet parking. EasyBroker id: eb-kp4546",/propiedades/venta-departamento-bosques-de-las-lomas-residencial-64246286.html,"MN 12,000,000",venta,,,,,
Dpto con Gran Plusvalia y Excelentes Acabados,"Del Valle Norte, Benito Juárez","Desarrollo en una de las Av. Más importantes de la cdmx. Su ubicación le ofrece a tu familia áreas de recreación como son parques donde pueden convivir, igualmente existen cerca del desarrollo tiendas de auto servicio, restaurantes entre otros. El departamento cuenta con: 2 recamaras. 2 baños completos. Sala comedor. Cocina. Cuarto de lavado",/propiedades/dpto-con-gran-plusvalia-y-excelentes-acabados-63908483.html,"MN 4,000,000",venta,,,,,
"Colonia Cedros, Privada de Los Cedros Departamento PH en Venta (Ao)","Los Cedros, Alvaro Obregón","Privada de los Cedros departamento en venta, Col. Alcantarilla (ao) Cuenta con 318 mts doble altura en sala y comedor, antecomedor, cantina, cocina integral, cuarto de servicio con baño, sala de tv, 3 estacionamientos, bodega, vigilancia privada, 2 elevadores, mantenimiento $4, 500. Areas comunes: Alberca, gimnasio, cancha de paddle, jardín con juegos y salon de fiestas con baños_____________________________________________________codigo de referencia dapVer datos Las medidas son ilustrativas y deben de corroborarse con los títulos de propiedad respectivos y/o las boletas predial. Los precios publicados y la disponibilidad pueden cambiar sin previo aviso por lo que se debe de verificar con la inmobiliaria y los propietarios de los inmuebles. La publicación de la presente información no representa una oferta pública por lo que toda transacción debe de hacerse de forma personal de acuerdo a las practicas comerciales de la inmobiliaria y para poder ser valida requiere de la autorización expresa de los propietarios de los inmuebles.",/propiedades/colonia-cedros-privada-de-los-cedros-departamento-ph-64402663.html,"MN 9,000,000",venta,,,,,
